,anomes,sarampo,tosse,febre,coriza,conjuntivite,exantema_maculopapular,exantema,manchas_de_Koplik,Koplik,manchas_vermelhas_no_corpo,manchas_vermelhas,fotofobia
0,201801,2.25,30.75,58.75,42.5,28.75,0.0,52.5,0.0,0.0,80.0,75.75,55.75
1,201802,4.25,34.0,23.25,52.75,43.5,0.0,58.75,0.0,0.0,53.75,70.25,70.5
2,201803,8.25,48.25,13.25,63.5,86.5,12.5,66.5,22.25,11.5,60.25,75.0,71.0
3,201804,6.8,70.0,10.8,83.0,50.4,0.0,66.2,0.0,0.0,57.4,74.8,77.6
4,201805,4.5,89.75,8.5,83.75,26.5,13.5,59.0,0.0,0.0,69.0,69.25,66.75
5,201806,5.5,90.5,7.5,85.0,19.75,14.75,62.25,0.0,24.5,62.25,62.25,53.0
6,201807,54.4,85.8,6.8,74.4,18.8,0.0,68.2,34.4,52.4,49.6,70.2,59.0
7,201808,50.75,67.75,6.25,70.75,18.5,0.0,58.5,18.5,31.25,44.0,66.5,59.0
8,201809,11.8,68.6,6.6,63.2,20.0,9.6,70.0,32.4,18.2,69.0,68.0,57.0
9,201810,7.0,56.25,6.75,54.0,20.25,25.0,73.5,0.0,28.75,55.25,70.25,50.75
10,201811,5.75,53.75,7.0,58.0,19.25,33.25,77.5,0.0,41.75,58.5,76.25,79.75
11,201812,4.2,46.2,6.8,56.4,18.2,0.0,60.4,0.0,10.8,60.2,85.2,44.6
12,201901,2.0,29.0,61.0,41.0,68.25,17.5,51.0,0.0,0.0,52.5,71.0,58.0
13,201902,6.75,31.25,77.0,50.5,58.25,0.0,54.25,9.75,0.0,56.5,67.0,59.25
14,201903,7.4,56.2,89.2,74.6,63.0,0.0,68.0,18.8,11.2,53.8,77.4,70.4
15,201904,6.25,71.0,94.0,73.75,64.0,16.75,70.0,9.5,19.5,71.5,87.5,46.5
16,201905,5.25,76.5,93.0,82.0,72.5,14.25,70.0,10.25,14.5,82.0,81.25,64.0
17,201906,7.2,89.6,84.2,92.0,77.0,11.2,59.6,16.4,12.8,70.0,75.2,53.8
18,201907,45.25,80.25,64.0,80.75,83.0,0.0,50.5,10.0,51.5,49.5,66.25,62.0
19,201908,90.5,73.75,64.75,84.0,85.5,58.0,67.5,49.0,77.25,54.5,69.25,66.25
20,201909,41.6,62.6,66.6,66.0,93.8,0.0,75.2,38.2,65.4,66.0,69.8,55.2
21,201910,34.5,55.0,68.25,60.75,96.0,32.75,69.0,58.0,55.75,62.75,73.0,59.25
22,201911,23.5,45.5,67.5,58.0,88.25,13.0,62.75,39.75,47.75,52.5,70.0,52.75
23,201912,10.8,50.8,64.8,62.8,82.4,0.0,53.6,0.0,14.6,71.6,75.6,51.0
24,202001,8.75,23.0,41.0,4.75,90.25,0.0,63.0,0.0,33.0,72.0,87.0,63.75
25,202002,42.5,32.0,43.5,10.0,83.75,13.75,75.25,0.0,39.5,87.25,93.25,71.5
26,202003,23.8,68.2,72.0,46.8,77.2,10.8,79.4,20.0,31.8,84.0,89.2,64.0
27,202004,7.25,38.0,57.75,17.5,65.75,25.0,61.75,0.0,11.5,84.5,78.25,71.75
28,202005,6.0,31.8,50.2,15.2,51.2,0.0,61.8,15.2,13.8,72.4,77.6,67.0
29,202006,5.25,26.75,44.0,13.75,53.25,0.0,57.25,20.25,11.0,69.25,75.0,72.5
30,202007,6.25,26.0,40.25,15.5,50.75,0.0,45.0,0.0,0.0,55.75,70.5,68.5
31,202008,8.2,21.2,34.8,13.6,46.0,14.2,49.8,0.0,0.0,50.8,64.0,74.0
32,202009,6.25,18.25,32.5,9.75,50.0,0.0,55.25,0.0,0.0,61.25,73.5,69.75
33,202010,6.25,17.75,33.0,10.25,50.5,0.0,48.25,23.25,26.5,50.75,67.75,48.5
34,202011,4.0,24.8,36.6,14.4,53.0,0.0,52.0,0.0,28.0,57.6,64.4,56.6
35,202012,3.5,29.75,42.5,15.75,60.0,0.0,39.0,0.0,24.75,82.5,83.25,76.0
36,202101,68.4,20.8,35.6,41.4,78.2,0.0,75.2,0.0,0.0,77.0,96.8,66.8
37,202102,52.5,23.25,38.5,45.25,75.25,0.0,79.25,0.0,14.25,69.0,89.25,86.0
38,202103,64.5,31.5,45.75,52.5,70.5,0.0,85.75,0.0,0.0,91.75,97.0,77.75
39,202104,63.0,24.5,41.5,41.0,65.75,0.0,86.0,0.0,0.0,78.25,86.25,82.5
40,202105,63.6,33.2,43.6,63.0,63.8,0.0,75.4,20.0,0.0,70.6,82.0,74.0
41,202106,59.75,31.0,36.5,53.0,62.25,0.0,77.75,19.5,43.25,63.0,78.75,77.25
42,202107,45.25,30.25,33.25,63.25,62.5,0.0,61.5,0.0,11.5,59.5,74.0,63.75
43,202108,53.8,31.2,32.6,52.8,64.6,0.0,81.8,0.0,7.8,53.0,77.0,70.2
44,202109,78.0,32.5,32.75,38.0,71.5,0.0,79.5,0.0,9.0,66.0,81.5,75.5
45,202110,73.0,36.6,34.6,38.0,76.2,14.8,77.4,0.0,0.0,64.8,80.4,59.8
46,202111,63.75,38.25,36.5,36.5,82.5,0.0,86.0,0.0,19.25,64.0,79.0,71.0
47,202112,48.5,68.25,71.0,70.25,91.25,25.0,70.25,0.0,0.0,76.0,89.5,57.25
48,202201,9.2,78.0,77.0,74.4,48.8,38.2,50.8,0.0,42.4,85.2,98.0,67.6
49,202202,9.25,32.5,41.5,28.0,42.25,27.0,58.25,0.0,0.0,79.25,92.25,78.25
50,202203,14.75,34.75,42.5,28.75,44.0,50.0,73.25,23.0,42.5,80.25,88.25,85.75
51,202204,50.5,51.75,40.5,30.75,47.5,51.25,84.5,31.75,64.75,79.5,94.0,79.0
52,202205,39.4,72.6,42.2,43.0,63.0,69.8,90.8,12.2,65.2,84.8,91.8,79.2
53,202206,20.25,88.25,47.75,52.0,76.5,23.75,72.75,0.0,43.0,71.75,86.25,72.25
54,202207,10.6,62.2,38.4,32.4,71.4,0.0,51.4,0.0,0.0,69.6,84.0,74.4
55,202208,15.5,46.0,31.75,30.75,68.75,12.5,57.0,0.0,44.75,63.0,75.75,82.0
56,202209,13.75,50.0,35.0,24.25,77.0,28.5,64.0,18.5,27.5,58.5,74.75,63.25
57,202210,10.8,39.4,38.6,20.4,88.8,0.0,67.2,16.6,35.2,61.0,79.0,80.2
58,202211,10.0,40.5,41.25,28.5,81.5,13.25,73.0,25.0,28.25,64.75,80.75,69.0
59,202212,7.25,34.0,34.0,23.0,71.5,13.0,59.25,16.75,13.0,76.25,88.5,78.5
