anomes;mortal_idade_ate1ano;mortal_idade_1a4anos;mortal_idade_5a9anos;mortalidade_infantil_ate9anos
201701;2879;461;292;3632
201702;2781;429;271;3481
201703;3235;527;272;4034
201704;3148;521;260;3929
201705;3330;540;277;4147
201706;3088;487;255;3830
201707;3131;530;283;3944
201708;2941;473;236;3650
201709;2739;501;285;3525
201710;2902;495;290;3687
201711;2928;475;246;3649
201712;3121;479;289;3889
201801;3079;463;244;3786
201802;2693;418;228;3339
201803;3197;478;236;3911
201804;3108;527;281;3916
201805;3213;562;300;4075
201806;3047;536;272;3855
201807;3009;518;249;3776
201808;2985;463;233;3681
201809;2802;492;255;3549
201810;2866;474;255;3595
201811;2866;447;261;3574
201812;2999;491;258;3748
201901;3035;451;231;3717
201902;2893;351;195;3439
201903;3167;463;302;3932
201904;3212;563;288;4063
201905;3269;563;283;4115
201906;3025;556;279;3860
201907;2962;459;279;3700
201908;2818;492;255;3565
201909;2631;484;246;3361
201910;2738;472;263;3473
201911;2739;487;267;3493
201912;2804;481;278;3563
202001;2817;425;265;3507
202002;2671;386;229;3286
202003;2925;499;234;3658
202004;2696;378;202;3276
202005;2786;394;233;3413
202006;2540;320;220;3080
202007;2520;329;210;3059
202008;2516;379;211;3106
202009;2380;347;178;2905
202010;2526;396;187;3109
202011;2397;354;202;2953
202012;2665;379;211;3255
202101;2772;389;248;3409
202102;2511;359;209;3079
202103;2838;436;228;3502
202104;2625;378;200;3203
202105;2704;416;210;3330
202106;2611;381;238;3230
202107;2776;423;225;3424
202108;2569;408;240;3217
202109;2472;408;219;3099
202110;2648;456;234;3338
202111;2594;447;216;3257
202112;2736;520;299;3555
202201;2925;617;350;3892
202202;2531;429;249;3209
202203;2756;514;244;3514
202204;2810;552;273;3635
202205;2990;662;308;3960
202206;2705;622;266;3593
202207;2686;544;280;3510
202208;2588;488;253;3329
202209;2445;478;228;3151
202210;2517;477;276;3270
202211;2573;446;245;3264
202212;2731;454;278;3463
 ;;;;
