anomes,Koplik,manchas_vermelhas_no_corpo,manchas_vermelhas,fotofobia
201801,0.0,80.0,75.75,55.75
201802,0.0,53.75,70.25,70.5
201803,11.5,60.25,75.0,71.0
201804,0.0,57.4,74.8,77.6
201805,0.0,69.0,69.25,66.75
201806,24.5,62.25,62.25,53.0
201807,52.4,49.6,70.2,59.0
201808,31.25,44.0,66.5,59.0
201809,18.2,69.0,68.0,57.0
201810,28.75,55.25,70.25,50.75
201811,41.75,58.5,76.25,79.75
201812,10.8,60.2,85.2,44.6
201901,0.0,52.5,71.0,58.0
201902,0.0,56.5,67.0,59.25
201903,11.2,53.8,77.4,70.4
201904,19.5,71.5,87.5,46.5
201905,14.5,82.0,81.25,64.0
201906,12.8,70.0,75.2,53.8
201907,51.5,49.5,66.25,62.0
201908,77.25,54.5,69.25,66.25
201909,65.4,66.0,69.8,55.2
201910,55.75,62.75,73.0,59.25
201911,47.75,52.5,70.0,52.75
201912,14.6,71.6,75.6,51.0
202001,33.0,72.0,87.0,63.75
202002,39.5,87.25,93.25,71.5
202003,31.8,84.0,89.2,64.0
202004,11.5,84.5,78.25,71.75
202005,13.8,72.4,77.6,67.0
202006,11.0,69.25,75.0,72.5
202007,0.0,55.75,70.5,68.5
202008,0.0,50.8,64.0,74.0
202009,0.0,61.25,73.5,69.75
202010,26.5,50.75,67.75,48.5
202011,28.0,57.6,64.4,56.6
202012,24.75,82.5,83.25,76.0
202101,0.0,77.0,96.8,66.8
202102,14.25,69.0,89.25,86.0
202103,0.0,91.75,97.0,77.75
202104,0.0,78.25,86.25,82.5
202105,0.0,70.6,82.0,74.0
202106,43.25,63.0,78.75,77.25
202107,11.5,59.5,74.0,63.75
202108,7.8,53.0,77.0,70.2
202109,9.0,66.0,81.5,75.5
202110,0.0,64.8,80.4,59.8
202111,19.25,64.0,79.0,71.0
202112,0.0,76.0,89.5,57.25
202201,42.4,85.2,98.0,67.6
202202,0.0,79.25,92.25,78.25
202203,42.5,80.25,88.25,85.75
202204,64.75,79.5,94.0,79.0
202205,65.2,84.8,91.8,79.2
202206,43.0,71.75,86.25,72.25
202207,0.0,69.6,84.0,74.4
202208,44.75,63.0,75.75,82.0
202209,27.5,58.5,74.75,63.25
202210,35.2,61.0,79.0,80.2
202211,28.25,64.75,80.75,69.0
202212,13.0,76.25,88.5,78.5
