anomes,conjuntivite,exantema_maculopapular,exantema,manchas_de_Koplik
201801,28.75,0.0,52.5,0.0
201802,43.5,0.0,58.75,0.0
201803,86.5,12.5,66.5,22.25
201804,50.4,0.0,66.2,0.0
201805,26.5,13.5,59.0,0.0
201806,19.75,14.75,62.25,0.0
201807,18.8,0.0,68.2,34.4
201808,18.5,0.0,58.5,18.5
201809,20.0,9.6,70.0,32.4
201810,20.25,25.0,73.5,0.0
201811,19.25,33.25,77.5,0.0
201812,18.2,0.0,60.4,0.0
201901,68.25,17.5,51.0,0.0
201902,58.25,0.0,54.25,9.75
201903,63.0,0.0,68.0,18.8
201904,64.0,16.75,70.0,9.5
201905,72.5,14.25,70.0,10.25
201906,77.0,11.2,59.6,16.4
201907,83.0,0.0,50.5,10.0
201908,85.5,58.0,67.5,49.0
201909,93.8,0.0,75.2,38.2
201910,96.0,32.75,69.0,58.0
201911,88.25,13.0,62.75,39.75
201912,82.4,0.0,53.6,0.0
202001,90.25,0.0,63.0,0.0
202002,83.75,13.75,75.25,0.0
202003,77.2,10.8,79.4,20.0
202004,65.75,25.0,61.75,0.0
202005,51.2,0.0,61.8,15.2
202006,53.25,0.0,57.25,20.25
202007,50.75,0.0,45.0,0.0
202008,46.0,14.2,49.8,0.0
202009,50.0,0.0,55.25,0.0
202010,50.5,0.0,48.25,23.25
202011,53.0,0.0,52.0,0.0
202012,60.0,0.0,39.0,0.0
202101,78.2,0.0,75.2,0.0
202102,75.25,0.0,79.25,0.0
202103,70.5,0.0,85.75,0.0
202104,65.75,0.0,86.0,0.0
202105,63.8,0.0,75.4,20.0
202106,62.25,0.0,77.75,19.5
202107,62.5,0.0,61.5,0.0
202108,64.6,0.0,81.8,0.0
202109,71.5,0.0,79.5,0.0
202110,76.2,14.8,77.4,0.0
202111,82.5,0.0,86.0,0.0
202112,91.25,25.0,70.25,0.0
202201,48.8,38.2,50.8,0.0
202202,42.25,27.0,58.25,0.0
202203,44.0,50.0,73.25,23.0
202204,47.5,51.25,84.5,31.75
202205,63.0,69.8,90.8,12.2
202206,76.5,23.75,72.75,0.0
202207,71.4,0.0,51.4,0.0
202208,68.75,12.5,57.0,0.0
202209,77.0,28.5,64.0,18.5
202210,88.8,0.0,67.2,16.6
202211,81.5,13.25,73.0,25.0
202212,71.5,13.0,59.25,16.75
